displayName, name, status, startType
Windows Camera Frame Server,FrameServer,Stopped,Manual
Google Chrome Elevation Service,GoogleChromeElevationService,Stopped,Manual
Group Policy Client,gpsvc,Running,Automatic
GraphicsPerfSvc,GraphicsPerfSvc,Stopped,Manual
Google Update Service (gupdate),gupdate,Stopped,Automatic
Google Update Service (gupdatem),gupdatem,Stopped,Manual
Human Interface Device Service,hidserv,Stopped,Manual
HV Host Service,HvHost,Stopped,Manual
Windows Mobile Hotspot Service,icssvc,Stopped,Manual
IKE and AuthIP IPsec Keying Modules,IKEEXT,Stopped,Manual
Microsoft Store Install Service,InstallService,Stopped,Manual
IP Helper,iphlpsvc,Running,Automatic
IP Translation Configuration Service,IpxlatCfgSvc,Stopped,Manual
Infrared monitor service,irmon,Stopped,Manual
CNG Key Isolation,KeyIso,Running,Manual
KtmRm for Distributed Transaction Coordinator,KtmRm,Stopped,Manual
Server,LanmanServer,Running,Automatic
Workstation,LanmanWorkstation,Running,Automatic
Geolocation Service,lfsvc,Running,Manual
Windows License Manager Service,LicenseManager,Running,Manual
Link-Layer Topology Discovery Mapper,lltdsvc,Stopped,Manual
TCP/IP NetBIOS Helper,lmhosts,Running,Manual
Local Session Manager,LSM,Running,Automatic
Language Experience Service,LxpSvc,Stopped,Manual
Downloaded Maps Manager,MapsBroker,Stopped,Automatic
MessagingService_2e212,MessagingService_2e212,Stopped,Manual
Mozilla Maintenance Service,MozillaMaintenance,Stopped,Manual
Windows Defender Firewall,mpssvc,Running,Automatic
Distributed Transaction Coordinator,MSDTC,Running,Manual
Microsoft iSCSI Initiator Service,MSiSCSI,Stopped,Manual
Windows Installer,msiserver,Stopped,Manual
Natural Authentication,NaturalAuthentication,Stopped,Manual
Network Connectivity Assistant,NcaSvc,Stopped,Manual
Network Connection Broker,NcbService,Running,Manual
Network Connected Devices Auto-Setup,NcdAutoSetup,Stopped,Manual
Netlogon,Netlogon,Stopped,Manual
Network Connections,Netman,Stopped,Manual
Network List Service,netprofm,Running,Manual
Network Setup Service,NetSetupSvc,Stopped,Manual
Net.Tcp Port Sharing Service,NetTcpPortSharing,Stopped,Disabled
Microsoft Passport Container,NgcCtnrSvc,Stopped,Manual
Microsoft Passport,NgcSvc,Stopped,Manual
Network Location Awareness,NlaSvc,Running,Automatic
Network Store Interface Service,nsi,Running,Automatic
Sync Host_2e212,OneSyncSvc_2e212,Running,Automatic
Peer Networking Identity Manager,p2pimsvc,Stopped,Manual
Peer Networking Grouping,p2psvc,Stopped,Manual
Program Compatibility Assistant Service,PcaSvc,Running,Manual
BranchCache,PeerDistSvc,Stopped,Manual
Windows Perception Simulation Service,perceptionsimulation,Stopped,Manual
Performance Counter DLL Host,PerfHost,Stopped,Manual
Phone Service,PhoneSvc,Stopped,Manual
Contact Data_2e212,PimIndexMaintenanceSvc_2e212,Stopped,Manual
Performance Logs & Alerts,pla,Stopped,Manual
Plug and Play,PlugPlay,Running,Manual
PNRP Machine Name Publication Service,PNRPAutoReg,Stopped,Manual
Peer Name Resolution Protocol,PNRPsvc,Stopped,Manual
IPsec Policy Agent,PolicyAgent,Stopped,Manual
Power,Power,Running,Automatic
Printer Extensions and Notifications,PrintNotify,Stopped,Manual
PrintWorkflow_2e212,PrintWorkflowUserSvc_2e212,Stopped,Manual
User Profile Service,ProfSvc,Running,Automatic
Windows PushToInstall Service,PushToInstall,StartPending,Manual
Quality Windows Audio Video Experience,QWAVE,Stopped,Manual
Remote Access Auto Connection Manager,RasAuto,Stopped,Manual
Remote Access Connection Manager,RasMan,Stopped,Manual
Routing and Remote Access,RemoteAccess,Stopped,Disabled
Remote Registry,RemoteRegistry,Stopped,Disabled
Retail Demo Service,RetailDemo,Stopped,Manual
Radio Management Service,RmSvc,Stopped,Manual
RPC Endpoint Mapper,RpcEptMapper,Running,Automatic
Remote Procedure Call (RPC) Locator,RpcLocator,Stopped,Manual
Remote Procedure Call (RPC),RpcSs,Running,Automatic
Security Accounts Manager,SamSs,Running,Automatic
Smart Card,SCardSvr,Stopped,Manual
Smart Card Device Enumeration Service,ScDeviceEnum,Stopped,Manual
Task Scheduler,Schedule,Running,Automatic
Smart Card Removal Policy,SCPolicySvc,Stopped,Manual
Windows Backup,SDRSVC,Stopped,Manual
Secondary Logon,seclogon,Stopped,Manual
Windows Security Service,SecurityHealthService,Running,Manual
Payments and NFC/SE Manager,SEMgrSvc,Stopped,Manual
System Event Notification Service,SENS,Running,Automatic
Windows Defender Advanced Threat Protection Service,Sense,Stopped,Manual
Sensor Data Service,SensorDataService,Stopped,Manual
Sensor Service,SensorService,Stopped,Manual
Sensor Monitoring Service,SensrSvc,Stopped,Manual
Remote Desktop Configuration,SessionEnv,Stopped,Manual
System Guard Runtime Monitor Broker,SgrmBroker,Running,Automatic
Internet Connection Sharing (ICS),SharedAccess,Stopped,Manual
Spatial Data Service,SharedRealitySvc,Stopped,Manual
Shell Hardware Detection,ShellHWDetection,Running,Automatic
Shared PC Account Manager,shpamsvc,Stopped,Disabled
Microsoft Storage Spaces SMP,smphost,Stopped,Manual
Microsoft Windows SMS Router Service.,SmsRouter,Stopped,Manual
SNMP Trap,SNMPTRAP,Stopped,Manual
Windows Perception Service,spectrum,Stopped,Manual
Print Spooler,Spooler,Running,Automatic
Software Protection,sppsvc,Stopped,Automatic
SSDP Discovery,SSDPSRV,Running,Manual
OpenSSH Authentication Agent,ssh-agent,Stopped,Disabled
Secure Socket Tunneling Protocol Service,SstpSvc,Stopped,Manual
State Repository Service,StateRepository,Running,Manual
Windows Image Acquisition (WIA),stisvc,Stopped,Manual
Storage Service,StorSvc,Running,Manual
Spot Verifier,svsvc,Stopped,Manual
Microsoft Software Shadow Copy Provider,swprv,Stopped,Manual
SysMain,SysMain,Running,Automatic
System Events Broker,SystemEventsBroker,Running,Automatic
Touch Keyboard and Handwriting Panel Service,TabletInputService,Running,Manual
Telephony,TapiSrv,Stopped,Manual
Remote Desktop Services,TermService,Stopped,Manual
Themes,Themes,Running,Automatic
Storage Tiers Management,TieringEngineService,Stopped,Manual
Time Broker,TimeBrokerSvc,Running,Manual
Web Account Manager,TokenBroker,Running,Manual
Distributed Link Tracking Client,TrkWks,Running,Automatic
Windows Modules Installer,TrustedInstaller,Stopped,Automatic
Auto Time Zone Updater,tzautoupdate,Stopped,Disabled
User Experience Virtualization Service,UevAgentService,Stopped,Disabled
Remote Desktop Services UserMode Port Redirector,UmRdpService,Stopped,Manual
User Data Storage_2e212,UnistoreSvc_2e212,Stopped,Manual
UPnP Device Host,upnphost,Stopped,Manual
User Data Access_2e212,UserDataSvc_2e212,Stopped,Manual
User Manager,UserManager,Running,Automatic
Update Orchestrator Service,UsoSvc,Running,Automatic
Volumetric Audio Compositor Service,VacSvc,Stopped,Manual
Credential Manager,VaultSvc,Running,Manual
Virtual Disk,vds,Stopped,Manual
VMware Alias Manager and Ticket Service,VGAuthService,Running,Automatic
Hyper-V Guest Service Interface,vmicguestinterface,Stopped,Manual
Hyper-V Heartbeat Service,vmicheartbeat,Stopped,Manual
Hyper-V Data Exchange Service,vmickvpexchange,Stopped,Manual
Hyper-V Remote Desktop Virtualization Service,vmicrdv,Stopped,Manual
Hyper-V Guest Shutdown Service,vmicshutdown,Stopped,Manual
Hyper-V Time Synchronization Service,vmictimesync,Stopped,Manual
Hyper-V PowerShell Direct Service,vmicvmsession,Stopped,Manual
Hyper-V Volume Shadow Copy Requestor,vmicvss,Stopped,Manual
VMware Tools,VMTools,Running,Automatic
VMware Snapshot Provider,vmvss,Stopped,Manual
VMware Physical Disk Helper Service,VMware Physical Disk Helper Service,Running,Automatic
VMware CAF AMQP Communication Service,VMwareCAFCommAmqpListener,Stopped,Manual
VMware CAF Management Agent Service,VMwareCAFManagementAgentHost,Stopped,Manual
Volume Shadow Copy,VSS,Stopped,Manual
Windows Time,W32Time,Running,Manual
Windows Update Medic Service,WaaSMedicSvc,Stopped,Manual
WalletService,WalletService,Stopped,Manual
WarpJITSvc,WarpJITSvc,Stopped,Manual
Block Level Backup Engine Service,wbengine,Stopped,Manual
Windows Biometric Service,WbioSrvc,Stopped,Manual
Windows Connection Manager,Wcmsvc,Running,Automatic
Windows Connect Now - Config Registrar,wcncsvc,Stopped,Manual
Diagnostic Service Host,WdiServiceHost,Running,Manual
Diagnostic System Host,WdiSystemHost,Stopped,Manual
Windows Defender Antivirus Network Inspection Service,WdNisSvc,Running,Manual
WebClient,WebClient,Stopped,Manual
Windows Event Collector,Wecsvc,Stopped,Manual
Windows Encryption Provider Host Service,WEPHOSTSVC,Stopped,Manual
Problem Reports and Solutions Control Panel Support,wercplsupport,Stopped,Manual
Windows Error Reporting Service,WerSvc,Stopped,Manual
Wi-Fi Direct Services Connection Manager Service,WFDSConMgrSvc,Stopped,Manual
Still Image Acquisition Events,WiaRpc,Stopped,Manual
Windows Defender Antivirus Service,WinDefend,Running,Automatic
WinHTTP Web Proxy Auto-Discovery Service,WinHttpAutoProxySvc,Running,Manual
Windows Management Instrumentation,Winmgmt,Running,Automatic
Windows Remote Management (WS-Management),WinRM,Stopped,Manual
Windows Insider Service,wisvc,Stopped,Manual
WLAN AutoConfig,WlanSvc,Stopped,Manual
Microsoft Account Sign-in Assistant,wlidsvc,Running,Manual
Local Profile Assistant Service,wlpasvc,Stopped,Manual
Windows Management Service,WManSvc,Stopped,Manual
WMI Performance Adapter,wmiApSrv,Stopped,Manual
Windows Media Player Network Sharing Service,WMPNetworkSvc,Stopped,Manual
Work Folders,workfolderssvc,Stopped,Manual
Parental Controls,WpcMonSvc,Stopped,Manual
Portable Device Enumerator Service,WPDBusEnum,Stopped,Manual
Windows Push Notifications System Service,WpnService,Running,Automatic
Windows Push Notifications User Service_2e212,WpnUserService_2e212,Running,Automatic
Security Center,wscsvc,Running,Automatic
Windows Search,WSearch,Running,Automatic
Windows Update,wuauserv,Stopped,Manual
WWAN AutoConfig,WwanSvc,Stopped,Manual
Xbox Live Auth Manager,XblAuthManager,Stopped,Manual
Xbox Live Game Save,XblGameSave,Stopped,Manual
Xbox Accessory Management Service,XboxGipSvc,Stopped,Manual
Xbox Live Networking Service,XboxNetApiSvc,Stopped,Manual
